"Time_Iter","Outer_Iter","Inner_Iter",     "rms[P]"     ,     "rms[U]"     ,     "rms[V]"     ,     "rms[W]"     ,     "rms[k]"     ,     "rms[w]"     
          0,           0,           0,     -0.1306947204,      -13.46558502,               -32,               -32,     -0.1402269084,       3.248291574
          0,           0,           1,     -0.4400613344,       1.302876505,      0.6109363601,      0.7211309772,     -0.2841013546,       5.443696983
          0,           0,           2,     -0.7307258287,       1.012649694,      0.3453897498,      0.5308119837,      -0.387405106,       5.051572873
          0,           0,           3,     -0.8128409833,      0.5568647407,      0.3742079069,      0.5613693234,     -0.2028989782,       4.630135032
          0,           0,           4,     -0.7989974899,       0.361115112,       0.212086348,      0.4542287331,      0.0100197594,       4.495044737
          0,           0,           5,     -0.9038034116,      0.0627378828,      0.3003896311,      0.4557627153,     0.07114584683,         4.1350429
          0,           0,           6,      -0.864729711,     0.09084367161,     0.06427484532,     0.05742761812,     -0.1513726177,       4.122262414
          0,           0,           7,      -1.033430267,       0.120571492,       -0.05455926,       0.274526467,     -0.7712393949,       4.125171761
          0,           0,           8,      -1.021712674,     -0.3509231127,     -0.1347719188,      0.1489183635,     -0.3379753664,        4.13939128
          0,           0,           9,      -1.347703207,     -0.3619879213,     -0.3675894906,     -0.3869628707,     -0.7400657322,       3.938391699
          0,           0,          10,      -1.212960188,     -0.7372005456,     -0.4950169862,     -0.0598338453,      -1.020194784,       4.185953781
          0,           0,          11,      -1.378489181,     -0.3444198514,     -0.4524253656,     -0.1705772157,      -1.172621907,       3.931779883
          0,           0,          12,      -1.319687661,     -0.5164263585,     -0.5914234616,     -0.1653826552,      -1.270326123,       4.158571159
          0,           0,          13,      -1.625145952,     -0.8578297946,     -0.5438258815,     -0.5701084544,      -1.486576781,       3.666192515
          0,           0,          14,      -1.509164003,     -0.5362213728,     -0.6747916271,     -0.4496976096,      -1.997510706,       3.641831354
          0,           0,          15,      -1.601988657,     -0.4782463037,     -0.7030145106,     -0.6478115779,      -2.056228938,       3.539899223
          0,           0,          16,      -1.649626562,     -0.5995757024,     -0.9844650222,     -0.4981138285,      -2.220284997,       3.367771784
          0,           0,          17,      -1.673729374,     -0.5428402494,      -1.071905458,     -0.4414406053,      -2.564233247,       3.587810693
          0,           0,          18,      -1.648970683,     -0.6285197126,      -1.143658787,     -0.7380289111,      -3.255512862,       3.611901259
          0,           0,          19,       -1.78291364,     -0.5861044281,      -1.487761732,     -0.7529674389,      -3.095944908,       3.569872568
          0,           0,          20,      -1.673611374,     -0.6532080657,      -1.481762179,     -0.8143107613,      -3.098208289,       3.500812704
          0,           0,          21,       -1.72909466,     -0.6699765823,      -1.473422951,     -0.9611074945,      -3.467301475,       3.623455166
          0,           0,          22,      -1.675888457,     -0.7256350224,      -1.360444931,     -0.9710228006,      -3.260726745,       3.367935179
          0,           0,          23,      -1.766710204,     -0.8126743954,      -1.414936025,     -0.9137629687,      -3.808608683,        3.74791832
          0,           0,          24,      -1.642151065,     -0.8409992257,      -1.532306693,      -1.027978899,      -3.371075145,       3.533802903
          0,           0,          25,      -1.649622641,     -0.8446733714,      -1.449820369,      -1.119235483,      -3.593228013,       3.526382314
          0,           0,          26,      -1.582810913,     -0.8705074169,      -1.337596229,      -1.029107331,      -3.657102772,       3.405747582
          0,           0,          27,      -1.564858612,      -1.008230615,      -1.516964277,       -1.16459282,      -3.607575309,       3.928839428
          0,           0,          28,      -1.459280799,      -0.939505486,      -1.763970152,      -1.173355009,      -3.530476674,       3.795393125
          0,           0,          29,       -1.43950212,      -1.036292674,       -1.50909561,      -1.234284779,      -3.402907221,       3.922852792
          0,           0,          30,      -1.416485219,     -0.9650167161,      -1.704738837,      -1.276247801,      -3.364806088,       3.411887645
          0,           0,          31,      -1.381299223,      -1.078576702,      -1.555222454,      -1.348689292,      -3.374156895,       3.818607545
          0,           0,          32,          -1.28559,      -0.926044164,      -1.451124551,      -1.212356156,      -3.290327871,       3.645343339
          0,           0,          33,      -1.331083109,      -1.130365269,      -1.437623417,       -1.35893786,      -3.330988242,       3.871714957
          0,           0,          34,      -1.260509553,     -0.9861469084,      -1.757055023,      -1.209908827,      -3.195719492,        3.62582657
