"Time_Iter","Outer_Iter","Inner_Iter",     "rms[P]"     ,     "rms[U]"     ,     "rms[V]"     ,     "rms[W]"     ,     "rms[k]"     ,     "rms[w]"     
          0,           0,           0,      -2.323715934,      -17.45111935,               -32,               -32,      -4.125639496,     -0.3228324374
          0,           0,           1,      -2.453951443,      -1.915935639,       -3.16243257,      -3.144508973,      -4.304675784,       3.077641933
          0,           0,           2,      -2.644079966,       -2.11766454,      -3.181834605,      -3.105562099,      -4.646110021,       2.942722321
          0,           0,           3,      -2.843147419,      -2.300978326,      -3.125398521,      -3.139916686,      -4.798849809,        2.92418253
          0,           0,           4,      -2.866189522,      -2.472375655,      -3.332429246,       -3.35479263,      -4.642767275,       2.890605437
          0,           0,           5,      -2.961051592,      -2.600872409,       -3.39590119,      -3.366018911,      -4.280497114,       2.856930934
          0,           0,           6,      -3.146178396,      -2.664308546,      -3.380994112,      -3.357447316,       -4.23634097,       2.777218763
          0,           0,           7,      -3.256503726,      -2.772469822,      -3.435669658,      -3.424749305,      -4.443519425,       2.667254452
          0,           0,           8,      -3.281043244,      -2.965676921,      -3.562646127,      -3.453654123,      -4.549597237,       2.562098952
          0,           0,           9,      -3.315173249,      -3.284301979,      -3.643910233,      -3.524186246,       -4.64172731,       2.552933674
          0,           0,          10,      -3.359940806,      -3.422552512,      -3.737468811,      -3.686776255,      -4.326486849,       2.542550274
          0,           0,          11,      -3.478161079,      -3.297689528,      -3.865930155,      -3.833363332,      -4.121288808,       2.561626955
          0,           0,          12,      -3.676743838,      -3.252468293,      -3.938075679,      -3.785746499,      -3.916647125,       2.621329486
          0,           0,          13,      -3.915894803,      -3.339075028,      -4.012061044,      -3.879601714,      -3.769215835,        2.69456096
          0,           0,          14,      -3.958903784,      -3.506681229,      -4.174338118,      -3.942692561,      -3.571325154,       2.759498437
          0,           0,          15,      -3.940812333,      -3.790428392,      -4.270662489,       -4.13146552,      -3.416787956,       2.791456733
          0,           0,          16,      -4.015216555,      -3.896371304,      -4.187884408,      -4.144085453,      -3.380091633,       2.796198929
          0,           0,          17,      -4.075026484,      -3.798894578,      -4.172736448,      -4.087916559,      -3.530618978,       2.805370478
          0,           0,          18,      -4.160912468,       -3.72014957,      -4.267236503,      -4.065473765,      -3.490669747,        2.82295312
          0,           0,          19,      -4.259066662,       -3.76886159,      -4.156286092,      -3.956220919,      -3.377325078,       2.747283864
          0,           0,          20,      -4.212976747,      -3.875515197,      -3.967577224,      -3.830651996,      -3.807463049,       2.807487957
          0,           0,          21,      -4.275075845,      -3.843059933,      -3.974615529,      -3.830788405,      -3.808958218,       2.802577577
          0,           0,          22,      -4.185486256,      -3.879868362,      -4.157028211,       -3.82000439,      -3.904407288,       2.886512341
          0,           0,          23,      -4.152184673,      -3.665104985,      -3.900737836,      -3.519234774,       -3.98049667,        2.84093565
          0,           0,          24,        -4.2546503,      -3.753167715,      -3.911649704,      -3.647659024,      -4.061134469,       2.987613714
          0,           0,          25,      -4.278593034,      -3.771642453,      -3.957416369,      -3.810049915,      -4.007570376,       2.939568172
          0,           0,          26,      -4.260500627,      -3.841934915,       -3.85060399,      -3.663858769,      -3.937198826,       3.067250618
          0,           0,          27,       -4.26329588,      -3.816879006,      -3.816962334,      -3.658113529,      -3.847395797,       3.028520748
          0,           0,          28,      -4.296132527,      -3.873915687,      -3.872346236,      -3.801926189,      -3.914592658,       3.145895548
          0,           0,          29,      -4.116615589,      -3.647831878,      -3.804901362,      -3.345453934,      -3.604878977,       3.066024223
          0,           0,          30,      -4.080774584,      -3.591668833,      -3.770805717,      -3.410333419,      -3.835666564,       3.237062817
          0,           0,          31,      -4.154528592,       -3.67474423,      -3.817032737,      -3.701338658,      -3.683563278,       3.064791251
          0,           0,          32,      -4.124180459,      -3.736877022,       -3.73810495,      -3.422388056,      -3.825519933,        3.27912219
          0,           0,          33,      -4.124058937,      -3.687729016,      -3.725500046,      -3.471451553,      -3.733022311,       3.166993306
          0,           0,          34,      -4.084872799,      -3.532525866,      -3.733098792,       -3.65844428,      -3.641438495,       3.361637153
          0,           0,          35,      -4.030109706,      -3.532957427,      -3.754666415,      -3.647642625,       -3.51615225,       3.109654154
          0,           0,          36,      -4.085840174,       -3.66869894,      -3.794357154,      -3.660422245,      -3.555518045,       3.399884661
          0,           0,          37,      -4.079057024,      -3.586152894,      -3.765176012,      -3.632830839,      -3.493931601,       3.205132781
          0,           0,          38,      -3.976277815,      -3.426356889,       -3.74806221,      -3.586663989,      -3.419114162,       3.438328085
          0,           0,          39,      -3.956196366,      -3.413373499,      -3.713479415,      -3.548333144,      -3.341587486,        3.10187996
          0,           0,          40,      -4.031672224,      -3.505648926,      -3.631723765,      -3.559920816,      -3.416153777,       3.471078953
          0,           0,          41,      -4.030016859,      -3.421917874,      -3.593226418,      -3.500333023,      -3.374677807,       3.221425267
          0,           0,          42,       -3.93919715,      -3.304661521,      -3.622166626,      -3.448759134,      -3.507095166,       3.486219746
          0,           0,          43,      -3.926047673,      -3.308377865,      -3.593504274,      -3.425111006,      -3.398271349,       3.143660941
          0,           0,          44,      -3.966205923,      -3.399522053,      -3.577383047,      -3.418415548,      -3.569659216,       3.492330665
          0,           0,          45,       -3.96367601,      -3.339148922,      -3.556543011,      -3.387400666,      -3.537763985,       3.241341568
          0,           0,          46,      -3.925402169,        -3.2915928,      -3.591357178,      -3.404020017,      -3.511627478,       3.466269795
          0,           0,          47,      -3.930277343,      -3.285747315,      -3.573348047,      -3.380474446,      -3.362886909,       3.172965583
          0,           0,          48,      -3.972604831,      -3.343732822,      -3.495127667,      -3.411811192,       -3.08695337,       3.477648683
          0,           0,          49,      -3.958766085,      -3.291655713,      -3.474419839,      -3.368276331,      -3.228635405,       3.248932806
          0,           0,          50,      -3.906588158,      -3.250520397,      -3.480646611,      -3.336426175,      -2.796251517,       3.431120989
          0,           0,          51,      -3.917540998,      -3.248605194,      -3.441181908,      -3.336301602,       -3.20692621,        3.15304871
          0,           0,          52,      -3.993215824,      -3.324043379,      -3.414810356,      -3.445231266,      -3.231204456,       3.488505542
          0,           0,          53,      -3.984817232,      -3.293222185,      -3.418323216,      -3.387734823,      -3.022346556,       3.326855645
          0,           0,          54,      -3.937016472,      -3.258925323,      -3.392271988,      -3.381649457,      -2.985214669,        3.38585756
          0,           0,          55,        -3.9393875,      -3.254578582,      -3.323736331,      -3.346623035,      -2.960079465,       3.258237904
          0,           0,          56,      -3.916248396,      -3.255504347,      -3.288348946,      -3.227908203,      -3.033646412,       3.405764835
          0,           0,          57,      -3.922260117,      -3.246921104,      -3.298848209,      -3.239907117,      -2.928357137,       3.312167133
          0,           0,          58,      -3.915278999,      -3.247092583,       -3.29608342,      -3.332207926,      -3.047062813,       3.384900972
          0,           0,          59,      -3.919281201,      -3.254812879,       -3.33702126,      -3.346735271,      -2.938916641,       3.255200766
          0,           0,          60,      -3.941521137,      -3.272624256,      -3.283645119,      -3.348406629,      -2.945120009,       3.390284334
          0,           0,          61,      -3.935581645,      -3.264560786,      -3.278364925,      -3.344204413,      -2.949634081,       3.313422476
          0,           0,          62,      -3.890353419,      -3.211047571,      -3.241692999,      -3.248191769,      -3.021139546,       3.368710827
          0,           0,          63,      -3.907324827,      -3.226704943,      -3.256191853,      -3.274247771,      -2.997769505,       3.261074511
          0,           0,          64,      -3.946747905,      -3.305541104,      -3.263351519,      -3.372953022,      -3.124238803,       3.396219142
          0,           0,          65,      -3.949125315,       -3.28604904,      -3.302590192,      -3.368978154,      -3.270112533,       3.317664945
          0,           0,          66,      -3.899252544,      -3.229097257,      -3.251119913,       -3.28453101,      -3.352845481,        3.38822313
          0,           0,          67,      -3.910068464,      -3.251293075,      -3.273919939,      -3.306345099,      -3.319561561,       3.266810593
          0,           0,          68,        -3.9373198,       -3.32801224,      -3.268852519,      -3.402018108,      -3.458213255,       3.415714363
          0,           0,          69,      -3.936298051,      -3.303685885,      -3.311342379,      -3.386905577,      -3.497707376,       3.314731455
          0,           0,          70,      -3.892436048,      -3.254897308,      -3.241851436,      -3.345310406,      -3.570079084,       3.397516895
          0,           0,          71,      -3.905275742,      -3.265854861,        -3.2765873,      -3.353946495,      -3.495550793,       3.271267521
          0,           0,          72,      -3.931774075,       -3.32951498,      -3.286688593,       -3.39501826,      -3.309593574,       3.439086828
          0,           0,          73,      -3.938967731,      -3.311959357,      -3.329496732,      -3.389439231,      -3.026513248,       3.317372117
          0,           0,          74,      -3.927894626,      -3.290243714,      -3.295085392,      -3.398208027,      -2.901636062,       3.417431019
          0,           0,          75,      -3.944156175,      -3.298597462,      -3.323577663,      -3.410864942,      -2.920383397,       3.272628704
          0,           0,          76,      -3.920109037,      -3.319205447,      -3.288189884,      -3.373775495,      -2.941602654,       3.472554784
          0,           0,          77,      -3.907514877,      -3.291978595,      -3.307108103,      -3.351131314,      -2.933545299,       3.314921195
          0,           0,          78,      -3.895293455,      -3.282556971,       -3.27633874,      -3.380120124,      -2.912259226,       3.411268483
          0,           0,          79,      -3.903643174,      -3.293416981,      -3.318760634,      -3.398927143,      -2.860875172,       3.277455378
          0,           0,          80,         -3.946785,      -3.333412496,      -3.305048921,      -3.427291998,      -2.797501738,       3.431862508
          0,           0,          81,      -3.942723931,      -3.303451485,      -3.323006737,      -3.413473652,      -2.762893024,       3.313877905
          0,           0,          82,      -3.916962096,       -3.25170105,      -3.276495806,      -3.373722562,      -2.733384037,        3.40868886
          0,           0,          83,      -3.919277163,      -3.263556654,      -3.295375672,      -3.382674516,      -2.449693316,       3.270666734
          0,           0,          84,      -3.933428489,      -3.312676786,      -3.287511412,      -3.400251405,      -1.934701159,       3.458604776
          0,           0,          85,      -3.935140859,      -3.296247219,      -3.308027392,      -3.387633764,      -1.552771516,       3.327038981
          0,           0,          86,      -3.911798515,       -3.27066179,      -3.291628025,      -3.386827841,       -1.32562299,       3.431413857
          0,           0,          87,      -3.926546218,      -3.276710842,      -3.313944958,      -3.389927171,      -1.073890231,       3.259561495
          0,           0,          88,      -3.933617947,      -3.327892478,      -3.291041387,      -3.426753804,      -1.076721669,       3.455486567
          0,           0,          89,         -3.939975,       -3.30253579,        -3.3069424,      -3.416179249,      -1.049413388,       3.334405256
          0,           0,          90,      -3.915918223,      -3.258170545,      -3.303049731,      -3.389624195,      -1.240304904,       3.437012871
          0,           0,          91,      -3.931514928,      -3.277245488,      -3.326441044,      -3.393513953,        -1.4436142,       3.256633763
          0,           0,          92,      -3.940107519,      -3.340705302,      -3.298223785,      -3.425938027,      -1.461031513,       3.410975937
          0,           0,          93,      -3.953739185,      -3.304873788,      -3.312622212,      -3.428892619,      -1.487849858,       3.347716544
          0,           0,          94,      -3.931631751,      -3.245204128,      -3.307172805,      -3.403979938,      -1.411794277,        3.44564831
          0,           0,          95,       -3.94693991,        -3.2638165,      -3.334116771,      -3.410218087,      -1.375139558,        3.25183302
          0,           0,          96,      -3.985446568,      -3.335162563,      -3.294786402,      -3.467800127,      -1.291293831,       3.469957644
          0,           0,          97,      -3.983481319,      -3.296225722,      -3.315680581,      -3.441986744,      -1.354659528,       3.392339468
          0,           0,          98,      -3.947020366,      -3.204876473,       -3.28275113,      -3.359081036,      -1.378716708,       3.460421507
          0,           0,          99,      -3.954724937,      -3.235098319,      -3.300912742,      -3.381406165,      -1.501973916,       3.278899082
